ax,ay,az,gx,gy,gz,target,target_name
0.09,0.98,0.01,-1.34,1.04,-0.61,0.0,left-right
0.08,0.97,0.01,-1.1,0.92,-0.55,0.0,left-right
0.09,0.98,0.02,-0.61,0.67,-0.49,0.0,left-right
0.08,0.98,0.02,-1.28,0.61,-0.43,0.0,left-right
0.08,0.98,0.02,-2.44,1.16,-0.67,0.0,left-right
0.08,0.98,0.02,-2.01,1.1,-0.55,0.0,left-right
0.07,0.98,0.02,-1.34,0.61,-0.55,0.0,left-right
0.07,0.98,0.03,0.67,0.37,-0.67,0.0,left-right
0.08,0.98,0.02,2.26,0.37,-1.04,0.0,left-right
0.09,0.97,0.02,1.34,0.24,-1.1,0.0,left-right
0.09,0.98,0.02,-0.06,0.61,-0.92,0.0,left-right
0.09,0.98,0.02,-1.65,0.98,-0.37,0.0,left-right
0.09,0.97,0.01,-4.58,1.4,-0.49,0.0,left-right
0.08,0.98,0.02,-5.8,1.83,0.0,0.0,left-right
0.08,0.98,0.01,-5.49,1.89,0.0,0.0,left-right
0.08,0.98,0.01,-5.25,1.4,-0.06,0.0,left-right
0.08,0.98,0.01,-3.54,1.16,-0.24,0.0,left-right
0.08,0.98,0.01,-1.83,0.85,-0.37,0.0,left-right
0.08,0.98,0.01,-1.4,0.67,-0.61,0.0,left-right
0.08,0.98,0.01,-0.73,0.79,-0.79,0.0,left-right
0.08,0.98,0.01,0.12,0.73,-0.79,0.0,left-right
0.08,0.98,0.01,0.67,0.67,-1.16,0.0,left-right
0.08,0.98,0.01,2.01,0.24,-1.04,0.0,left-right
0.08,0.98,0.02,3.11,0.12,-0.92,0.0,left-right
0.08,0.98,0.02,2.56,0.0,-0.98,0.0,left-right
0.09,0.97,0.02,0.67,0.31,-0.85,0.0,left-right
0.09,0.97,0.02,-1.65,0.73,-0.61,0.0,left-right
0.09,0.98,0.02,-3.97,1.1,-0.37,0.0,left-right
0.08,0.98,0.02,-5.55,1.4,-0.12,0.0,left-right
0.08,0.98,0.02,-5.74,1.65,-0.06,0.0,left-right
0.07,0.98,0.02,-4.46,1.46,-0.24,0.0,left-right
0.07,0.98,0.02,-2.62,0.98,-0.43,0.0,left-right
0.07,0.98,0.02,-0.06,0.61,-0.67,0.0,left-right
0.08,0.98,0.02,1.28,0.43,-0.92,0.0,left-right
0.08,0.98,0.02,1.89,0.18,-1.04,0.0,left-right
0.09,0.98,0.02,1.04,0.24,-0.85,0.0,left-right
0.09,0.98,0.02,-0.79,0.55,-0.67,0.0,left-right
